LocalCourseCode,LocalCourseTitle,InstructionalTimePlanned,SchoolReference.id,SchoolReference.ref,SchoolReference.SchoolIdentity.SchoolId,SessionReference.id,SessionReference.ref,SessionReference.SessionIdentity.SchoolYear,SessionReference.SessionIdentity.SessionName,SessionReference.SessionIdentity.SchoolReference.id,SessionReference.SessionIdentity.SchoolReference.ref,SessionReference.SessionIdentity.SchoolReference.SchoolIdentity.SchoolId,SessionReference.SessionLookup.SchoolYear,SessionReference.SessionLookup.SessionName,SessionReference.SessionLookup.Term,SessionReference.SessionLookup.SchoolReference.id,SessionReference.SessionLookup.SchoolReference.ref,SessionReference.SessionLookup.SchoolReference.SchoolIdentity.SchoolId,CourseReference.id,CourseReference.ref,CourseReference.CourseIdentity.CourseCode,CourseReference.CourseIdentity.EducationOrganizationReference.id,CourseReference.CourseIdentity.EducationOrganizationReference.ref,CourseReference.CourseIdentity.EducationOrganizationReference.EducationOrganizationIdentity.EducationOrganizationId,CourseReference.CourseLookup.CourseCode,CourseReference.CourseLookup.CourseTitle,CourseReference.CourseLookup.CourseIdentificationCode.AssigningOrganizationIdentificationCode,CourseReference.CourseLookup.CourseIdentificationCode.IdentificationCode,CourseReference.CourseLookup.CourseIdentificationCode.CourseIdentificationSystem
GAT-ENG-2,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-ENG-2,,,255901001,GAT-ENG-2,,,GAT-ENG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-GEOM,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-GEOM,,,255901001,GAT-GEOM,,,GAT-GEOM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-GOVT,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-GOVT,,,255901001,GAT-GOVT,,,GAT-GOVT,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-PHYSICS,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-PHYSICS,,,255901001,GAT-PHYSICS,,,GAT-PHYSICS,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-US-HIST,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-US-HIST,,,255901001,GAT-US-HIST,,,GAT-US-HIST,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-WGEO,,,,,255901001,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,GAT-WGEO,,,255901001,GAT-WGEO,,,GAT-WGEO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ALG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ALG-1,,,255901001,ALG-1,,,ALG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ALG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ALG-2,,,255901001,ALG-2,,,ALG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ART-1,,,255901001,ART-1,,,ART-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ART-2,,,255901001,ART-2,,,ART-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART3-EM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ART3-EM,,,255901001,ART3-EM,,,ART3-EM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ART4-EM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ART4-EM,,,255901001,ART4-EM,,,ART4-EM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
BIO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,BIO,,,255901001,BIO,,,BIO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CHEM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CHEM,,,255901001,CHEM,,,CHEM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-09,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CL-09,,,255901001,CL-09,,,CL-09,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-10,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CL-10,,,255901001,CL-10,,,CL-10,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-11,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CL-11,,,255901001,CL-11,,,CL-11,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CL-12,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CL-12,,,255901001,CL-12,,,CL-12,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
CREAT-WR,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,CREAT-WR,,,255901001,CREAT-WR,,,CREAT-WR,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ECO-FE,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ECO-FE,,,255901001,ECO-FE,,,ECO-FE,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ENG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ENG-1,,,255901001,ENG-1,,,ENG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ENG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ENG-2,,,255901001,ENG-2,,,ENG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ENG-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ENG-3,,,255901001,ENG-3,,,ENG-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ENG-4,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ENG-4,,,255901001,ENG-4,,,ENG-4,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
ENVIRSYS,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,ENVIRSYS,,,255901001,ENVIRSYS,,,ENVIRSYS,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GEOM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GEOM,,,255901001,GEOM,,,GEOM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GOVT,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GOVT,,,255901001,GOVT,,,GOVT,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HLTH-ED,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HLTH-ED,,,255901001,HLTH-ED,,,HLTH-ED,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HUMT,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HUMT,,,255901001,HUMT,,,HUMT,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PE-09,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PE-09,,,255901001,PE-09,,,PE-09,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PE-10,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PE-10,,,255901001,PE-10,,,PE-10,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PE-11,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PE-11,,,255901001,PE-11,,,PE-11,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PE-12,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PE-12,,,255901001,PE-12,,,PE-12,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PHOTJOUR,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PHOTJOUR,,,255901001,PHOTJOUR,,,PHOTJOUR,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PHYSICS,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PHYSICS,,,255901001,PHYSICS,,,PHYSICS,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PRE-CALC,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PRE-CALC,,,255901001,PRE-CALC,,,PRE-CALC,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PS-09,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PS-09,,,255901001,PS-09,,,PS-09,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
PSY-I,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,PSY-I,,,255901001,PSY-I,,,PSY-I,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
SPAN-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,SPAN-1,,,255901001,SPAN-1,,,SPAN-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
SPAN-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,SPAN-2,,,255901001,SPAN-2,,,SPAN-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
SPAN-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,SPAN-3,,,255901001,SPAN-3,,,SPAN-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
TAMULTIM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,TAMULTIM,,,255901001,TAMULTIM,,,TAMULTIM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
US-HIST,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,US-HIST,,,255901001,US-HIST,,,US-HIST,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
WGEO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,WGEO,,,255901001,WGEO,,,WGEO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
W-HIST,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,W-HIST,,,255901001,W-HIST,,,W-HIST,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
WS-I,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,WS-I,,,255901001,WS-I,,,WS-I,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ALG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ALG-1,,,255901001,HON-ALG-1,,,HON-ALG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ALG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ALG-2,,,255901001,HON-ALG-2,,,HON-ALG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-BIO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-BIO,,,255901001,HON-BIO,,,HON-BIO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-CHEM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-CHEM,,,255901001,HON-CHEM,,,HON-CHEM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ENG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ENG-1,,,255901001,HON-ENG-1,,,HON-ENG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ENG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ENG-2,,,255901001,HON-ENG-2,,,HON-ENG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ENG-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ENG-3,,,255901001,HON-ENG-3,,,HON-ENG-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-ENG-4,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-ENG-4,,,255901001,HON-ENG-4,,,HON-ENG-4,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-GEOM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-GEOM,,,255901001,HON-GEOM,,,HON-GEOM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-GOVT,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-GOVT,,,255901001,HON-GOVT,,,HON-GOVT,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-PHYSICS,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-PHYSICS,,,255901001,HON-PHYSICS,,,HON-PHYSICS,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-SPAN-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-SPAN-1,,,255901001,HON-SPAN-1,,,HON-SPAN-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-SPAN-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-SPAN-2,,,255901001,HON-SPAN-2,,,HON-SPAN-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-SPAN-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-SPAN-3,,,255901001,HON-SPAN-3,,,HON-SPAN-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-US-HIST,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-US-HIST,,,255901001,HON-US-HIST,,,HON-US-HIST,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
HON-WGEO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,HON-WGEO,,,255901001,HON-WGEO,,,HON-WGEO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ALG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ALG-1,,,255901001,AP-ALG-1,,,AP-ALG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ALG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ALG-2,,,255901001,AP-ALG-2,,,AP-ALG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-BIO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-BIO,,,255901001,AP-BIO,,,AP-BIO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-CHEM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-CHEM,,,255901001,AP-CHEM,,,AP-CHEM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ENG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ENG-1,,,255901001,AP-ENG-1,,,AP-ENG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ENG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ENG-2,,,255901001,AP-ENG-2,,,AP-ENG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ENG-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ENG-3,,,255901001,AP-ENG-3,,,AP-ENG-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-ENG-4,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-ENG-4,,,255901001,AP-ENG-4,,,AP-ENG-4,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-GEOM,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-GEOM,,,255901001,AP-GEOM,,,AP-GEOM,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-GOVT,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-GOVT,,,255901001,AP-GOVT,,,AP-GOVT,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-PHYSICS,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-PHYSICS,,,255901001,AP-PHYSICS,,,AP-PHYSICS,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-SPAN-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-SPAN-1,,,255901001,AP-SPAN-1,,,AP-SPAN-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-SPAN-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-SPAN-2,,,255901001,AP-SPAN-2,,,AP-SPAN-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-SPAN-3,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-SPAN-3,,,255901001,AP-SPAN-3,,,AP-SPAN-3,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-US-HIST,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-US-HIST,,,255901001,AP-US-HIST,,,AP-US-HIST,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
AP-WGEO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,AP-WGEO,,,255901001,AP-WGEO,,,AP-WGEO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-ALG-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GAT-ALG-1,,,255901001,GAT-ALG-1,,,GAT-ALG-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-ALG-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GAT-ALG-2,,,255901001,GAT-ALG-2,,,GAT-ALG-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-ART-1,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GAT-ART-1,,,255901001,GAT-ART-1,,,GAT-ART-1,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-ART-2,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GAT-ART-2,,,255901001,GAT-ART-2,,,GAT-ART-2,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
GAT-BIO,,,,,255901001,,,2016-2017,2016 - 2017 Spring Semester,,,255901001,,2016 - 2017 Spring Semester,uri://ed-fi.org/TermDescriptor#Spring Semester,,,255901001,,,GAT-BIO,,,255901001,GAT-BIO,,,GAT-BIO,uri://ed-fi.org/CourseIdentificationSystemDescriptor#LEA course code
